#;Name;Manufacturer;Quantity;Value
1;CAP_0603_M;;7;0.1uF
2;865080643007;Würth;2;15uF
3;0603X7R103KT2AT;KYOCERA;1;0.01uF
4;EMK107BB7225KA-T;Taiyo Yuden;1;2.2uF
5;875105344010;Würth;2;100uF
6;C1608X6S1A106M080AC;TDK;2;10uF
7;VSS8D5M6;VISHAY;4;
8;RBQ15BGE65A;ROHM;1;15A
9;SRP1040-330M;Bourns;1;
10;KF33BD-TR;STM;1;3,3V
11;KF50BD-TR;STM;1;5,0V
12;TNPW06035K30BEEA;VISHAY;1;5.3k
13;RES_0603_N;;3;10K
14;RES_0603;;3;10K
15;RES_0603_N;;1;150R
16;BPA01SB;C&K;1;On/Off
17;BPA01SB;C&K;1;Reset
18;BPA01SB;C&K;1;Flash
19;LM2679-12;;1;
20;ESP8266 12E;;1;
21;TXS0108EPWR;Texas Instruments;1;
22;DC-Input DCL;;1;
23;Programming ESP;;1;
24;LED_connector;;1;
